CATAMI names / codes from CAAB,,,,,
SPECIES_CODE,CATAMI_DISPLAY_NAME,CATAMI_PARENT_ID,CPC_CODES,Changes since v1.2,Changes since v1.3
80300000,Macroalgae,80000000, MA ,,
80300911,Macroalgae: Articulated calcareous,80300000, MAA ,,
80300912,Macroalgae: Articulated calcareous: Green,80300911, MAAG ,,
80300913,Macroalgae: Articulated calcareous: Red,80300911, MAAR ,,
80300926,Macroalgae: Encrusting,80300000, MAEN ,,
80300927,Macroalgae: Encrusting: Brown,80300926, MAENB ,,
80300928,Macroalgae: Encrusting: Green,80300926, MAENG ,,
80300929,Macroalgae: Encrusting: Red,80300926, MAENR ,,
80300934,Macroalgae: Encrusting: Red: Calcareous,80300929, MAENRC,New category,
80300935,Macroalgae: Encrusting: Red: Non-calcareous,80300929, MEANRNC,New category,
80300903,Macroalgae: Erect coarse branching,80300000, MAEC ,,
80300904,Macroalgae: Erect coarse branching: Brown,80300903, MAECB ,,
80300905,Macroalgae: Erect coarse branching: Green,80300903, MAECG ,,
80300906,Macroalgae: Erect coarse branching: Red,80300903, MAECR ,,
80300907,Macroalgae: Erect fine branching,80300000, MAEF ,,
80300908,Macroalgae: Erect fine branching: Brown,80300907, MAEFB ,,
80300909,Macroalgae: Erect fine branching: Green,80300907, MAEFG ,,
80300910,Macroalgae: Erect fine branching: Red,80300907, MAEFR ,,
80300930,Macroalgae: Filamentous / filiform,80300000, MAF ,,
80300931,Macroalgae: Filamentous / filiform: Brown,80300930, MAFB ,,
80300932,Macroalgae: Filamentous / filiform: Green,80300930, MAFG ,,
80300933,Macroalgae: Filamentous / filiform: Red,80300930, MAFR ,,
80300914,Macroalgae: Globose / saccate,80300000, MAG ,,
80300915,Macroalgae: Globose / saccate: Brown,80300914, MAGB ,,
80300916,Macroalgae: Globose / saccate: Green,80300914, MAGG ,,
80300917,Macroalgae: Globose / saccate: Red,80300914, MAGR ,,
80300918,Macroalgae: Laminate,80300000, MALA ,,
80300919,Macroalgae: Laminate: Brown,80300918, MALAB ,,
80300920,Macroalgae: Laminate: Green,80300918, MALAG ,,
80300921,Macroalgae: Laminate: Red,80300918, MALAR ,,
80300901,Macroalgae: Large canopy-forming,80300000, MALC ,,
80300902,Macroalgae: Large canopy-forming: Brown,80300901, MALCB ,,
80300922,Macroalgae: Sheet-like / membraneous,80300000, MAS ,,
80300923,Macroalgae: Sheet-like / membraneous: Brown,80300922, MASB ,,
80300924,Macroalgae: Sheet-like / membraneous: Green,80300922, MASG ,,
80300925,Macroalgae: Sheet-like / membraneous: Red,80300922, MASR ,,
23000000,Molluscs,80000000, MO ,,
23199000,Molluscs: Bivalves,23000000, MOB ,,
23590000,Molluscs: Cephalopods,23000000, MOCE ,,
23607000,Molluscs: Cephalopods: Cuttlefish,23590000, MOCEC,,
23650000,Molluscs: Cephalopods: Octopods,23590000, MOCEO ,,
23615000,Molluscs: Cephalopods: Squid,23590000, MOCES ,,
23100000,Molluscs: Chitons,23000000, MOCH ,,
24000000,Molluscs: Gastropods,23000000, MOG ,,
82003000,Relief,82000000, R ,,
82003001,Relief: Flat,82003000, RF ,,
82003005,Relief: High,82003000, RH ,,
82003006,Relief: High: High (>3m),82003005, RHH ,,
82003007,Relief: High: Wall,82003005, RHR ,,
82003002,Relief: Low / moderate,82003000, RL ,,
82003003,Relief: Low / moderate: Low (<1m),82003002, RLL ,,
82003004,Relief: Low / moderate: Moderate (1-3m),82003002, RLM ,,
82001001,Substrate: Consolidated (hard),82001000, SC ,,
82001003,Substrate: Consolidated (hard): Boulders,82001001, SCB ,,
82001004,Substrate: Consolidated (hard): Cobbles,82001001, SCC ,,
82001002,Substrate: Consolidated (hard): Rock,82001001, SCR ,,
82001005,Substrate: Unconsolidated (soft),82001000, SU ,,
82001006,Substrate: Unconsolidated (soft): Pebble / gravel,82001005, SUP ,,
82001007,Substrate: Unconsolidated (soft): Pebble / gravel: Biologenic,82001006, SUPB ,,
82001010,Substrate: Unconsolidated (soft): Pebble / gravel: Biologenic: Barnacle plates,82001007, SUPBB ,,
82001008,Substrate: Unconsolidated (soft): Pebble / gravel: Biologenic: Coquina / shellhash,82001007, SUPBC ,,
82001009,Substrate: Unconsolidated (soft): Pebble / gravel: Biologenic: Coral rubble,82001007, SUPBR ,,
82001018,Substrate: Unconsolidated (soft): Pebble / gravel: Biologenic: Rhodoliths,82001007, SUPBR,,
82001017,Substrate: Unconsolidated (soft): Pebble / gravel: Biologenic: Screwshells,82001007, SUPBS ,,
82001011,Substrate: Unconsolidated (soft): Pebble / gravel: Gravel (2-10mm),82001006, SUPG ,,
82001012,Substrate: Unconsolidated (soft): Pebble / gravel: Pebble (10-64mm),82001006, SUPP ,,
82001013,Substrate: Unconsolidated (soft): Sand / mud (<2mm),82001005, SUS ,,
82001014,Substrate: Unconsolidated (soft): Sand / mud (<2mm): Coarse sand (with shell fragments),82001013, SUSC ,,
82001015,Substrate: Unconsolidated (soft): Sand / mud (<2mm): Fine sand (no shell fragments),82001013, SUSF ,,
82001016,Substrate: Unconsolidated (soft): Sand / mud (<2mm): Mud / silt (<64um),82001013, SUSM ,,